Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
1,1,Dockside Extortionist,Commander 2019,24,,,,,,,,,,$0.00
1,0,"Sheoldred, the Apocalypse",Dominaria United,369,,,,,,,,,,$0.00
1,0,Undead Warchief,"Time Spiral ""Timeshifted""",52,Near Mint,English,foil,,,,,,,$0.00
1,0,Magus of the Moon,Future Sight,101,,,,,,,,,,$0.00
1,0,Brazen Borrower // Petty Theft,Throne of Eldraine,39,,,,,,,,,,$0.00
1,0,"Otawara, Soaring City",Kamigawa: Neon Dynasty,271,,,,,,,,,,$0.00
1,0,"Liliana, Death Mage",Core Set 2021,328,,,foil,,,,,,,$0.00
1,0,Herald's Horn,Commander Legends: Battle for Baldur's Gate,862,,,,,,,,,,$0.00
1,0,Displacer Kitten,Commander Legends: Battle for Baldur's Gate,63,Near Mint,English,,,,,,,,$0.00
1,0,Karn's Sylex,Dominaria United,234,,,,,,,,,,$0.00
1,0,Herald's Horn,Commander 2017,53,,,,,,,,,,$0.00
1,0,"Chandra, Flame's Catalyst",Core Set 2021,332,,,foil,,,,,,,$0.00
1,0,Ashnod's Coupon,Unglued,69,,,,,,,,,,$0.00
1,0,Arclight Phoenix,Guilds of Ravnica,91,,,,,,,,,,$0.00
1,0,"Ajani, Sleeper Agent",Dominaria United,375,,,,,,,,,,$0.00
1,1,Bonecrusher Giant // Stomp,Throne of Eldraine,291,,,foil,,,,,,,$0.00
1,1,"K'rrik, Son of Yawgmoth",Commander 2019,18,,,,,,,,,,$0.00
1,0,Spara's Headquarters,Streets of New Capenna,257,,,,,,,,,,$0.00
1,0,Reflecting Pool,Commander Legends: Battle for Baldur's Gate,358,,,,,,,,,,$0.00
1,1,Serpent of Yawning Depths,Theros Beyond Death,291,,,,,,,,,,$0.00
2,0,"Azusa, Lost but Seeking",Core Set 2021,173,,,,,,,,,,$0.00
1,1,Giver of Runes,Modern Horizons,13,,,,,,,,,,$0.00
1,1,Shimmer Dragon,Throne of Eldraine,317,,,,,,,,,,$0.00
2,0,"Jace, Wielder of Mysteries",War of the Spark,54,Near Mint,English,,,,,,,,$0.00
1,1,Veil of Summer,Core Set 2020,198,,,,,,,,,,$0.00
1,0,Ziatora's Proving Ground,Streets of New Capenna,261,,,,,,,,,,$0.00
1,0,Lightning Greaves,Commander Legends: Battle for Baldur's Gate,864,,,,,,,,,,$0.00
1,1,Bone Miser,Commander 2019,15,,,,,,,,,,$0.00
1,0,"Takenuma, Abandoned Mire",Kamigawa: Neon Dynasty,278,,,,,,,,,,$0.00
1,0,Nemesis of Reason,Alara Reborn,28,,,,,,,,,,$0.00
1,0,"Ao, the Dawn Sky",Prerelease Events: Kamigawa: Neon Dynasty,2,,,foil,,,,,,,$0.00
1,1,"Ilharg, the Raze-Boar",War of the Spark,133,,,,,,,,,,$0.00
1,0,Unnatural Growth,Innistrad: Midnight Hunt,206,,,,,,,,,,$0.00
1,1,Woodland Mystic,Core Set 2020,344,,,,,,,,,,$0.00
1,1,Inspiring Statuary,Aether Revolt,160,,,,,,,,,,$0.00
1,1,Tamiyo's Journal,Shadows over Innistrad,265,,,foil,,,,,,,$0.00
1,0,Fateful Absence,Prerelease Events: Innistrad: Midnight Hunt,18,,,foil,,,,,,,$0.00
1,1,Castle Garenbrig,Throne of Eldraine,240,,,,,,,,,,$0.00
1,1,God-Eternal Bontu,War of the Spark,92,,,,,,,,,,$0.00
1,0,Professional Face-Breaker,Streets of New Capenna,116,,,,,,,,,,$0.00
1,0,Clever Impersonator,Commander 2019,82,,,,,,,,,,$0.00
1,0,"Miirym, Sentinel Wyrm",Commander Legends: Battle for Baldur's Gate,542,,,foil,,,,,,,$0.00
1,0,"Garruk, Unleashed",Core Set 2021,284,,,foil,,,,,,,$0.00
1,0,Augur of Autumn,Innistrad: Midnight Hunt,168,,,,,,,,,,$0.00
1,0,Reliquary Tower,Love your LGS,1,,,foil,,,,,,,$0.00
1,0,"Chandra, Flame's Fury",Core Set 2020,294,,,foil,,,,,,,$0.00
1,0,Kappa Cannoneer,Kamigawa: Neon Dynasty Commander,14,,,,,,,,,,$0.00
1,0,Hive of the Eye Tyrant,Adventures in the Forgotten Realms,258,,,,,,,,,,$0.00
1,0,Drumbellower,Kamigawa: Neon Dynasty Commander,6,,,,,,,,,,$0.00
1,1,Talisman of Conviction,Modern Horizons,230,,,,,,,,,,$0.00
1,0,Aboleth Spawn,Commander Legends: Battle for Baldur's Gate,662,,,,,,,,,,$0.00
1,1,Voracious Hydra,Core Set 2020,200,,,,,,,,,,$0.00
2,0,Teferi's Ageless Insight,Core Set 2021,76,,,,,,,,,,$0.00
1,0,Arcane Bombardment,Streets of New Capenna,101,,,,,,,,,,$0.00
1,1,Sevinne's Reclamation,Commander 2019,5,,,,,,,,,,$0.00
1,1,Rotting Regisaur,Core Set 2020,111,,,,,,,,,,$0.00
1,0,Cyberdrive Awakener,Kamigawa: Neon Dynasty Commander,12,,,,,,,,,,$0.00
1,0,"Sokenzan, Crucible of Defiance",Kamigawa: Neon Dynasty,276,,,,,,,,,,$0.00
1,0,"Wasitora, Nekoru Queen",Commander 2017,49,,,,,,,,,,$0.00
1,0,Citadel Gate,Commander Legends: Battle for Baldur's Gate,349,,,foil,,,,,,,$0.00
1,0,Generous Gift,Kamigawa: Neon Dynasty Commander,84,,,,,,,,,,$0.00
1,0,Leyline of Anticipation,Commander Legends: Battle for Baldur's Gate,726,,,,,,,,,,$0.00
1,1,The Magic Mirror,Throne of Eldraine,51,,,,,,,,,,$0.00
1,1,Metalwork Colossus,Kaladesh,222,,,foil,,,,,,,$0.00
1,1,Prized Unicorn,Core Set 2020,342,,,,,,,,,,$0.00
1,1,"Drakuseth, Maw of Flames",Core Set 2020,136,,,,,,,,,,$0.00
1,0,Swords to Plowshares,Kamigawa: Neon Dynasty Commander,89,,,,,,,,,,$0.00
1,0,Thought Vessel,Commander Legends: Battle for Baldur's Gate,879,,,,,,,,,,$0.00
3,1,"Emry, Lurker of the Loch",Throne of Eldraine,43,,,,,,,,,,$0.00
1,1,Ghostly Prison,Commander 2019,64,,,,,,,,,,$0.00
1,0,Hullbreaker Horror,Commander Legends: Battle for Baldur's Gate,724,,,,,,,,,,$0.00
1,1,Mirrodin Besieged,Modern Horizons,57,,,,,,,,,,$0.00
1,0,Brainstealer Dragon,Commander Legends: Battle for Baldur's Gate,670,,,,,,,,,,$0.00
1,0,Talisman of Dominance,Commander Legends: Battle for Baldur's Gate,877,,,,,,,,,,$0.00
1,0,Plains,Kamigawa: Neon Dynasty,293,,,,,,,,,,$0.00
1,1,Emergence Zone,War of the Spark,245,,,,,,,,,,$0.00
1,0,Mindcrank,Commander Legends: Battle for Baldur's Gate,866,,,,,,,,,,$0.00
1,1,Geier Reach Sanitarium,Commander 2019,246,,,,,,,,,,$0.00
1,1,Mystical Dispute,Throne of Eldraine,58,,,,,,,,,,$0.00
1,0,"Emry, Lurker of the Loch",Kamigawa: Neon Dynasty Commander,91,,,,,,,,,,$0.00
1,0,Memory Deluge,Innistrad: Midnight Hunt,62,,,,,,,,,,$0.00
1,0,"Garruk, Savage Herald",Core Set 2021,336,,,foil,,,,,,,$0.00
1,1,Sanctum of Eternity,Commander 2019,59,,,,,,,,,,$0.00
1,0,Black Market,Commander Legends: Battle for Baldur's Gate,739,,,,,,,,,,$0.00
1,0,Parhelion II,Kamigawa: Neon Dynasty Commander,87,,,,,,,,,,$0.00
1,1,Soul-Guide Lantern,Theros Beyond Death,237,,,,,,,,,,$0.00
1,1,"Krenko, Tin Street Kingpin",War of the Spark,137,,,,,,,,,,$0.00
